category,total_orders,total_revenue,avg_item_price,avg_review_score
beleza_saude,8601,1228986.81,129.97,4.19
relogios_presentes,5454,1160289.57,199.19,4.07
cama_mesa_banho,9177,1027333.65,93.52,3.92
esporte_lazer,7486,954296.99,113.12,4.17
informatica_acessorios,6499,892279.63,116.3,3.98
moveis_decoracao,6260,712414.53,87.32,3.95
utilidades_domesticas,5709,613843.72,90.54,4.11
cool_stuff,3531,605088.81,163.63,4.19
automotivo,3792,572750.14,139.12,4.12
ferramentas_jardim,3428,468477.18,110.13,4.08
brinquedos,3774,467472.45,116.66,4.21
bebes,2787,397653.69,134.03,4.08
perfumaria,3076,389658.85,116.52,4.22
telefonia,4069,307941.54,69.86,4.0
moveis_escritorio,1244,266533.43,160.18,3.52
